"//UTM zone 36,",Datum: WGS84,,,,,,,
"//Easting[m],","Northing[m], CH-1",".0m, CH-0.5m,","Quality,",S,"at,",HDO,"P, Time, Date",
705067.151,3621642.669,123.008,89.961,2,8,1.5,32:39.1,11/29/2018
705066.912,3621642.251,125.898,91.992,2,8,1.5,32:39.3,11/29/2018
705066.646,3621641.784,128.945,94.688,2,8,1.5,32:39.5,11/29/2018
705066.401,3621641.346,130.039,93.242,2,8,1.5,32:39.7,11/29/2018
705066.14,3621640.881,128.516,90.703,2,8,1.5,32:39.9,11/29/2018
705065.838,3621640.341,127.773,91.172,2,8,1.5,32:40.1,11/29/2018
705065.636,3621639.981,128.164,92.93,2,8,1.5,32:40.3,11/29/2018
705065.373,3621639.512,127.383,91.758,2,8,1.5,32:40.5,11/29/2018
705065.125,3621639.082,126.68,90.312,2,8,1.5,32:40.6,11/29/2018
705064.829,3621638.571,125.234,88.594,2,8,1.5,32:40.9,11/29/2018
705064.627,3621638.223,125.156,89.102,2,8,1.5,32:41.0,11/29/2018
705064.378,3621637.793,124.023,87.891,2,8,1.5,32:41.2,11/29/2018
705064.136,3621637.375,120.977,86.445,2,8,1.5,32:41.4,11/29/2018
705063.869,3621636.899,119.414,85.898,2,8,1.5,32:41.6,11/29/2018
705063.618,3621636.445,117.969,84.141,2,8,1.5,32:41.8,11/29/2018
705063.315,3621635.896,114.883,81.992,2,8,1.5,32:42.0,11/29/2018
705063.106,3621635.517,114.609,82.461,2,8,1.5,32:42.2,11/29/2018
705062.879,3621635.107,112.539,80.43,2,8,1.5,32:42.3,11/29/2018
705062.578,3621634.548,109.766,76.523,2,8,1.5,32:42.6,11/29/2018
705062.368,3621634.15,107.305,75.078,2,8,1.5,32:42.8,11/29/2018
705062.158,3621633.752,106.445,75.547,2,8,1.5,32:42.9,11/29/2018
705061.889,3621633.243,107.383,76.758,2,8,1.5,32:43.1,11/29/2018
705061.642,3621632.775,107.812,78.945,2,8,1.5,32:43.3,11/29/2018
705061.414,3621632.351,108.594,80.781,2,8,1.5,32:43.5,11/29/2018
705060.998,3621631.618,111.562,82.812,2,8,1.5,32:43.8,11/29/2018
705060.875,3621631.401,112.148,82.07,2,8,1.5,32:43.9,11/29/2018
705060.662,3621631.025,111.289,81.055,2,8,1.5,32:44.1,11/29/2018
705060.375,3621630.519,110.508,81.367,2,8,1.5,32:44.3,11/29/2018
705060.167,3621630.153,109.102,80.82,2,8,1.5,32:44.4,11/29/2018
705059.927,3621629.734,107.773,78.359,2,8,1.5,32:44.6,11/29/2018
