"//UTM zone 36,",Datum: WGS84,,,,,,,
"//Easting[m],","Northing[m], CH","-1.0m, CH-0.5m,","Quality,",S,"at,",HDO,"P, Time, Date",
704696.314,3620811.301,98.594,66.836,2,9,0.9,37:27.0,11/29/2018
704696.593,3620811.777,101.836,69.492,2,9,0.9,37:27.2,11/29/2018
704696.849,3620812.212,103.75,72.305,2,9,0.9,37:27.4,11/29/2018
704697.106,3620812.65,104.766,71.953,2,9,0.9,37:27.6,11/29/2018
704697.354,3620813.072,103.633,69.922,2,9,0.9,37:27.8,11/29/2018
704697.656,3620813.587,100.508,66.562,2,9,0.9,37:28.0,11/29/2018
704697.907,3620814.024,96.797,62.031,2,9,0.9,37:28.2,11/29/2018
704698.228,3620814.583,91.68,59.062,2,9,0.9,37:28.4,11/29/2018
704698.461,3620814.988,87.148,55.391,2,9,0.9,37:28.6,11/29/2018
704698.767,3620815.52,82.5,51.484,2,9,0.9,37:28.8,11/29/2018
704699.039,3620815.995,78.945,49.414,2,9,0.9,37:28.9,11/29/2018
704699.372,3620816.556,74.688,47.617,2,9,0.9,37:29.1,11/29/2018
704699.641,3620817.001,70.586,44.961,2,9,0.9,37:29.3,11/29/2018
704700.016,3620817.62,67.578,43.32,2,9,0.9,37:29.5,11/29/2018
704700.253,3620818.012,66.406,43.086,2,9,0.9,37:29.7,11/29/2018
704700.591,3620818.572,65,42.344,2,9,0.9,37:29.9,11/29/2018
704700.864,3620819.024,64.727,41.992,2,9,0.9,37:30.1,11/29/2018
704701.194,3620819.578,64.375,42.656,2,9,0.9,37:30.3,11/29/2018
704701.43,3620819.975,65.938,43.516,2,9,0.9,37:30.5,11/29/2018
704701.736,3620820.488,67.617,45.781,2,9,0.9,37:30.7,11/29/2018
704701.999,3620820.931,70.977,48.398,2,9,0.9,37:30.8,11/29/2018
704702.332,3620821.49,72.852,49.688,2,9,0.9,37:31.1,11/29/2018
704702.564,3620821.881,75.039,50.43,2,9,0.9,37:31.2,11/29/2018
704702.786,3620822.257,76.055,50.156,2,9,0.9,37:31.4,11/29/2018
704703.072,3620822.739,76.016,49.453,2,9,0.9,37:31.6,11/29/2018
704703.346,3620823.201,73.477,47.695,2,9,0.9,37:31.8,11/29/2018
704703.567,3620823.574,72.891,46.602,2,9,0.9,37:32.0,11/29/2018
704703.791,3620823.972,71.602,46.719,2,9,0.9,37:32.2,11/29/2018
704704.04,3620824.423,70.664,46.914,2,9,0.9,37:32.4,11/29/2018
704704.234,3620824.773,69.492,45.352,2,9,0.9,37:32.5,11/29/2018
704704.475,3620825.21,67.539,43.633,2,9,0.9,37:32.8,11/29/2018
704704.665,3620825.553,66.016,43.711,2,9,0.9,37:32.9,11/29/2018
704704.907,3620825.986,64.57,42.148,2,9,0.9,37:33.1,11/29/2018
704705.128,3620826.375,63.828,41.328,2,9,0.9,37:33.3,11/29/2018
704705.331,3620826.732,62.031,40.898,2,9,0.9,37:33.5,11/29/2018
704705.548,3620827.116,62.07,40.547,2,9,0.9,37:33.7,11/29/2018
704705.755,3620827.481,61.797,40.078,2,9,0.9,37:33.9,11/29/2018
704705.986,3620827.886,61.797,39.844,2,9,0.9,37:34.1,11/29/2018
704706.171,3620828.205,61.133,40.195,2,9,0.9,37:34.2,11/29/2018
704706.418,3620828.63,61.406,40.312,2,9,0.9,37:34.5,11/29/2018
704706.597,3620828.939,61.289,40.078,2,9,0.9,37:34.6,11/29/2018
704706.835,3620829.349,61.484,38.945,2,9,0.9,37:34.8,11/29/2018
704707.027,3620829.68,60.977,39.062,2,9,0.9,37:35.0,11/29/2018
704707.25,3620830.063,60.508,39.336,2,9,0.9,37:35.2,11/29/2018
704707.473,3620830.444,59.414,38.047,2,9,0.9,37:35.4,11/29/2018
